PC1,PC2,Cluster,HC_Cluster,DBscan_Cluster
-0.336855328768148,-2.049384249834243,0,2,1
-0.3032546014028905,0.4055767340666218,1,0,0
1.8799707396567262,2.398454615272425,2,1,0
-1.083767165676134,1.708496022251928,1,3,0
-1.5953210126660755,-0.5038583737468555,0,0,0
-1.3411779545032796,1.6577642703087347,1,3,0
-1.875550330961735,1.2177949074383316,1,3,0
0.4489446795174224,1.2159569339498792,1,3,0
0.965636749997714,0.6890019515209319,2,1,1
0.02526218643489739,0.7652603546158957,1,2,1
1.7301406680095088,-0.5243265147840966,2,1,-1
-1.1165120337619665,1.2035011643152713,1,3,0
1.7987126553636572,-0.5806921277016805,2,1,1
0.4697312839855507,-1.107228583605655,0,0,0
-0.009606216210118281,1.444448441845467,1,2,1
0.37193477850976225,-1.210250642258182,0,2,1
-1.116167271706472,1.4583787262028833,1,3,0
-1.7367244614490571,-1.739817278983234,0,0,0
-1.4562219104117378,0.37395557220829573,1,0,0
-0.12485691390286068,3.6727069746486585,1,2,-1
-0.9156212412663987,0.9655770440141509,1,3,0
2.5277083678538963,-1.3372744960389864,2,1,1
-0.2896685890658556,0.3632120089895528,1,3,0
-0.7331568578661589,-1.226738357826655,0,0,0
-0.08397174000220536,-0.5083651202473957,0,0,0
-1.2737809530478648,0.06647381435650405,1,2,1
-2.022774375977325,-0.4486135407587985,1,0,0
0.9394923929359175,0.7105164896474433,2,3,0
1.4587218104372568,-2.2521607608622465,0,1,-1
-1.6788331316104386,-0.8162105818913789,0,0,0
-1.746087654036894,-1.995282063321802,0,0,0
2.0013679548606307,2.1050796474833247,2,1,1
-2.175612058674919,-0.14133123525219612,1,0,0
-0.004877887806933319,1.0964135691143941,1,3,0
-0.17886143343786448,-0.7198016244647036,0,0,0
2.2933994059290197,0.9250824411052555,2,1,1
4.6365985035266855,-2.0503653735631335,2,1,-1
-1.1084349312261623,-1.5084871710944763,0,0,0
-0.8609578326438287,-0.7070732105735815,0,0,0
0.4279981446979438,0.17268488171324475,1,2,1
-0.8172582981731713,0.30793792538502934,1,3,0
0.13967530685055146,-0.40520394105644236,0,0,0
0.13461078860513936,-0.23424317203458472,0,0,0
-0.15133792567211757,-0.706193193600388,0,0,0
-1.298052193355463,-0.6406580828037901,1,3,0
3.552581576782546,0.9040748625878124,2,1,1
1.5465106745546828,1.2472032310843864,2,1,1
1.5115883120970346,-0.7693546329818651,2,1,1
0.24039814377505034,-0.9409582726896438,0,2,1
-0.9563419779723388,0.01887373971554649,1,3,0
0.5638836766235281,-0.46234596873568196,0,1,1
-1.8024091804272366,0.5780699475407852,1,3,0
-1.1181280659006578,-0.1260833534770057,1,0,0
1.5099784158709881,-1.5825435277293172,0,0,0
-2.1380539673795633,1.0202414129285593,1,3,0
0.8761520193047115,0.6405312414392519,2,2,-1
-0.7204363437091809,-0.8809843978463197,0,2,1
-0.3955777470493868,-0.29310072162380824,0,0,0
-0.5789897722627009,0.30989018100700977,1,3,0
-1.9320030039967397,0.22988981310703221,1,3,0
2.4871179179715277,-1.8343065170472257,2,1,1
0.6707851813332913,0.9215892458475247,1,0,0
-0.7660155549365752,-2.7736545051226376,0,0,0
-1.9133525115499626,-0.7028610128349414,0,0,0
0.7411591054740937,1.9804600787981514,1,3,0
1.0175370744892454,-0.7677377367709721,0,0,0
0.7881816693936389,-0.6500963132584958,0,2,1
-0.9981555284054786,-0.6188764766310509,0,0,0
-0.7973037748733562,1.0897397519497631,1,3,0
2.139531267006235,0.1738966371995169,2,1,1
1.4846693937249866,-1.4451412615860135,0,1,1
1.872382462520115,-1.2246119792485972,2,2,-1
-0.30456886219682267,-0.1656359206052392,1,0,0
-0.9123584220894423,-3.5696827516265124,0,0,-1
3.8210225035272343,0.41758228904609923,2,1,1
-0.4847760839774281,1.0959938122596673,1,2,1
-0.4623293245976182,0.10186211687202272,1,2,1
-0.42712541741638965,-0.5079718668615154,0,0,0
-1.565322167366404,1.4077173799754858,1,2,1
-0.3203912648329063,-1.2636433831494402,0,0,0
0.08858982095169239,-0.4353480165603891,0,0,0
-0.8529191484431199,0.1965985834500286,1,2,1
1.2456581864253913,-3.1468859915764873,0,0,-1
0.2658484829132804,1.5427366845036814,1,3,0
-1.4444803233864594,0.5260647455656005,1,2,1
-0.7268395337215218,-0.8804893262583774,0,0,0
-2.17863325633871,0.029967029364730814,1,2,1
-1.4275042401713713,1.1791344810227167,1,3,0
0.28151324706293623,-0.8336941664455689,0,0,0
-1.6291216277312817,-0.3267828639802956,1,0,0
1.473277160915576,-1.4179267959565895,0,1,1
2.679697466480655,2.485612159025967,2,1,1
2.6640082777703107,1.570390866072142,2,1,1
-2.159688173685974,0.5206287427321844,1,3,0
-1.732655975458059,-0.1599000976246267,1,3,0
-1.1762094431297354,-2.086139250855972,0,0,0
-0.061843675978685314,0.27240287673484015,1,0,0
-1.7435381947613995,0.3109910975372852,1,3,0
-0.21531717170302253,1.7262519241633432,1,2,1
0.4872732669150677,-5.298262299197251,0,0,-1
-1.8027594632632333,1.2490393670094166,1,3,0
-1.2101934981930722,-1.0318486224145254,0,0,0
-0.5733827078381342,0.7994567962318005,1,3,0
-1.457529820742723,-0.18189545033571994,1,0,0
3.6040467807407803,0.5397164651351701,2,1,-1
-1.2090969805041671,-0.5698723672138396,0,0,0
-0.06924810761837889,-0.5634004757462726,0,0,0
-1.5866929299610657,-0.7238040415148813,0,0,0
-1.787247530182151,0.7346537896433366,1,2,1
-2.0123218320006315,0.5716636908271768,1,3,0
1.1447852890779977,0.5603224162995417,2,2,1
-0.008937743422695824,0.5722356379236352,1,2,-1
0.45988962054025767,0.30232210249407937,1,0,0
5.01571277195081,0.4110970053180441,2,1,-1
0.17636461372197948,-0.6309406317192727,0,0,0
0.6852133009309243,-0.030673611360178286,0,0,0
0.6134203673697387,1.409112031820848,1,3,0
-0.27404764316186897,-0.8972593464455039,0,0,0
0.10765381047454807,1.0796883992384123,1,2,1
-1.2642146814000363,0.24622430328545558,1,3,0
1.7239560181452755,0.8174837808011252,2,2,1
-0.5249425081941943,2.0081892074807857,1,3,0
-1.6932892520463734,-1.3169739661580226,0,0,0
-1.4423465925201047,0.1898741200456237,1,3,0
0.394600583274575,1.4456491350228058,1,3,0
1.1191136812277762,-0.558310081844558,0,2,1
1.182191329809916,-0.9810049066675853,0,2,1
0.2374417239003919,1.5731453957053878,1,2,1
0.28119482894179487,1.6426765181538356,1,3,0
0.01359443818422484,1.2133839005573952,1,2,1
-0.9766901765693242,0.33851135248826286,1,3,0
-0.3399943610792045,-1.1567998438693532,0,0,0
0.714798874174974,0.6035706137180499,1,3,0
-0.8000228606044896,-1.8231389124432342,0,0,0
-1.6856537657484774,-0.274517121432353,1,0,0
-1.43485984211069,-1.0034083507179297,0,0,0
-0.563341373979902,1.3395298131162927,1,3,0
-1.6060217244495052,0.3720181662470426,1,3,0
0.15042909421121592,-3.0413453249593765,0,0,0
1.79236337879418,2.1908915304772867,2,1,1
-2.3260987604880814,0.7820266824400951,1,3,0
-0.11949631802990214,-0.6284408019807872,0,0,1
-0.8517872610622017,-0.07783881769676405,1,2,1
-1.3450155201410925,1.29066954687942,1,3,0
-1.1010785526412052,0.29334224502176026,1,3,0
1.6351475137781821,0.47476451803912184,2,1,1
-2.2711392492269615,0.36188712583369015,1,0,0
-0.4890630744744219,-1.3715181258448634,0,0,0
-0.715800869848314,0.23560375682821968,1,3,0
-1.7946930718163787,-0.6175276119478537,1,0,0
-0.49612978880012487,0.20929168792713046,1,3,0
1.4905576849234752,-1.3540467420775595,0,0,0
0.7440563952930797,-0.550495591133826,0,0,1
-2.0123218320006315,0.5716636908271768,1,3,0
-0.5725077705217667,0.3470852391873391,1,3,0
-1.1911754106672785,-0.4209666485606685,1,0,0
-0.9558156398332569,-1.2631551445625688,0,2,1
0.11417851899507987,0.9950699607581367,1,3,0
1.6418221470718146,1.285139157381896,2,2,-1
-1.138154946116169,1.1862852731732414,1,2,1
-1.6708164687524216,0.8254542611718524,1,3,0
-0.9002061709032774,-0.3540125487108419,1,0,0
-1.9678779896253347,-0.045975190082499555,1,3,0
-2.29249664429039,0.05392464466349282,1,3,0
-1.4304131848209158,-1.9576580189980253,0,2,1
-0.9699392246663171,0.039581238740263376,1,2,-1
1.4242043416355021,-0.8621513724507891,2,2,1
4.403936524647929,-0.20513174195858985,2,1,1
2.737214115510138,1.2693101769949382,2,1,1
-1.8055348589046498,1.3862725937904328,1,2,1
-1.731345667840776,0.4901542532350574,1,3,0
0.5799010767786443,-0.5911755056628082,0,2,1
2.939070086077792,-0.4729707220781891,2,1,1
-0.4099387666713905,-1.4944390910873295,0,0,0
-0.11162155465040231,0.8022881031833602,1,0,0
-1.083767165676134,1.708496022251928,1,3,0
-0.27131572262455866,1.8276467650897759,1,3,0
0.04841874156834956,0.26082280949574904,1,2,1
-0.5324699761562997,0.10218383556467923,1,0,0
-0.8172582981731713,0.30793792538502934,1,3,0
-2.633222195850527,0.8897090858808573,1,3,0
-1.2824216231011514,-1.1189812654805955,0,0,0
-1.2735734877381357,0.2404853489906748,1,0,0
-0.266462977534451,-1.0610491372702617,0,0,0
-0.034512188088089965,-2.288546487796264,0,0,0
1.479408910394729,0.47121455858944866,2,1,1
-1.7008259569587043,1.8713969024745296,1,3,0
-1.657134543245641,0.8157831204396238,1,3,0
3.7769423724150024,-2.3255643261375694,2,1,1
-1.743242583079426,-2.0554542520125993,0,0,0
-1.6708164687524216,0.8254542611718524,1,3,0
-1.5777410959871165,0.5121734523119256,1,0,0
-2.0085751496318665,-0.08018451092520988,1,0,0
3.1989104576404412,2.08245991399194,2,1,-1
-1.100111339546578,1.0810794535109904,1,3,0
0.343431060140296,-0.7624447385115668,0,0,0
2.238226233248485,-0.3539698427312112,2,1,1
1.0611679096506736,1.5197608429262461,2,3,0
-2.1135387957652014,0.07262958729709519,1,0,0
-2.0749652384676636,0.2491252441308212,1,3,0
-0.8964530207523304,-0.3195573291058463,1,0,0
-1.6512865239893788,0.08215054762035041,1,2,1
-0.50943723327128,-2.234368399374399,0,0,0
-0.0961596290083921,0.30853443387834956,1,2,1
-0.2521297931709459,-0.3577532010612477,0,3,0
-1.9063425909168366,0.1845089349226734,1,3,0
0.28923498304393563,-1.9376760449623305,0,0,0
-0.6122141243039203,-0.26104113400243073,1,2,1
-0.45566526929388634,-2.016184288205998,0,0,0
-0.034512188088089965,-2.288546487796264,0,0,0
1.354356052236594,1.23035701381981,2,1,-1
3.5370051757668146,2.1118295702188763,2,2,-1
1.56531613838998,1.0618536829766894,2,1,1
-1.5187936474554171,0.5658250864726071,1,3,0
-0.4456951584918213,-0.001071035930314787,1,0,0
-1.347547958956734,0.5681529276846076,1,3,0
-0.7763528781988912,0.29643490951599255,1,3,0
1.0892419461862701,-0.8126193821562925,0,1,1
-0.23144460129816663,1.4243246351099843,1,3,0
-0.4841774168433978,1.5100344025375145,1,3,0
3.5107894791589747,1.3156845312184982,2,1,1
-0.33719012746002125,0.16744703839361913,1,0,0
1.8513797117232467,0.26886757324007765,2,0,0
-0.30293742056483025,1.6683417826063685,1,2,1
-1.4447771345728544,-0.5251417823791763,1,0,0
0.47021802604293295,-2.2957743427634485,0,2,1
-0.34593226802910126,2.139727711939516,1,2,1
1.5606428190189536,1.8772888734032214,2,2,-1
4.703144368310078,1.1376133214185562,2,1,-1
-0.19703599100014732,-0.05174666122473653,1,0,0
0.31612960207098395,-0.2923404284186531,0,0,0
-1.5310517554682812,-1.775710183028855,0,0,0
-1.4515197416360022,-0.9393905050948149,0,0,0
-1.7886256671212934,-0.536793006831746,0,0,0
-0.8732419574405661,-0.6753803732205717,0,0,0
2.302507453354999,2.2028229651972033,2,1,1
-0.5239121685239517,0.8110037274170189,1,3,0
2.932629577439385,1.0593978724542317,2,1,1
-0.7876343598523384,1.6527381180319543,1,3,0
0.993342241907102,-1.299885655732771,0,0,0
5.047448772278995,0.6250536042853483,2,1,-1
-0.5782256584027973,-0.610661788626243,0,0,0
1.2751152489087296,0.1270410021475734,2,2,1
-0.34621302182328184,-0.01967311488141412,1,0,0
0.781153899747365,-0.6735726926684822,0,0,1
-0.0006872917380740418,-1.518797208608897,0,2,1
-0.17233876655286848,0.7602109276323452,1,2,1
-0.872762874085165,-1.2134416760967346,0,0,0
-0.4592500754790423,1.6537320694434003,1,2,1
-0.5183270475442541,0.43356790607059714,1,0,0
-1.0475061710123037,-0.3707815405176332,0,0,0
-0.036753305551326665,0.44812002186994,1,2,1
0.4840918074918135,1.4493537366065914,1,3,0
-1.037319150533912,-0.5830853233937154,0,0,0
2.031675680374435,0.27092042620406637,2,2,1
1.6977571216828564,4.614009149880127,2,2,-1
0.37193477850976225,-1.210250642258182,0,2,1
-1.1562588589809504,-0.7318585014694559,0,0,0
-1.2184167164763902,-0.07417326105534956,1,3,0
-1.6915920348888025,0.5999392776130406,1,3,0
-0.9766901765693242,0.33851135248826286,1,3,0
-0.9560815281253511,-0.36164473297886507,1,0,0
-0.28155842811240156,-1.974436069375642,0,0,0
0.06406495753205514,0.5641903912602334,1,2,1
-1.1539233089394376,-0.2670762791346479,1,0,0
-1.1641309447830348,0.5143929135307543,1,0,0
0.3503244403122647,1.731304865986258,1,3,0
2.709393538266476,2.8195027582389622,2,1,1
0.6486566688325563,0.10746731432946417,0,2,1
-1.4654247863945002,-1.0953975699781682,0,0,0
-1.5606748833876551,1.1252418560011883,1,3,0
1.7790808324206333,-3.5778166147121095,0,1,-1
3.673000258108585,-0.9626073756352377,2,1,1
3.6040467807407803,0.5397164651351701,2,1,-1
-2.29249664429039,0.05392464466349282,1,3,0
-0.7671951420142514,1.2476840236176518,1,3,0
-1.369906006805245,-0.7562817706835563,0,0,0
-1.0948034361349346,0.37185054012855345,1,2,1
-1.5984079080273288,-0.6257045367977004,0,0,0
-0.991214251266448,0.8307601598261548,1,3,0
-1.3295525470064051,0.03980494944737362,1,0,0
4.37147667166749,-1.1727826337872778,2,1,-1
-2.350048342711625,0.36759420170028484,1,0,0
1.8968017823011678,2.9486627008027915,2,1,1
-1.4501067879390832,-0.7629246568363726,0,0,0
1.594078094941989,-0.4664748150837366,2,1,-1
2.9953809310524817,-2.493005942236236,2,1,1
-2.030968622722014,0.08642215119115894,1,3,0
-0.4274522077266288,0.005445502262946775,1,0,0
3.2719889394751394,1.3143584338812426,2,1,1
0.2525197394532126,-2.2113319077183533,0,0,1
-0.8517872610622017,-0.07783881769676405,1,2,1
-2.5124403160546906,0.8937415759449298,1,3,0
0.7102595799018815,0.33934207060878757,2,1,1
4.4969106965584285,1.5543506077774893,2,1,1
-0.8955115672243299,0.6561424892626323,1,3,0
-1.3598512095479498,-1.1950016548183315,0,0,0
-2.0026854496904205,0.5224636421210267,1,3,0
-0.49522735174406984,3.2768101836031134,1,2,1
0.28151324706293623,-0.8336941664455689,0,0,0
-1.2617323017078108,-2.599765392832457,0,0,0
-2.6749918788231497,0.8769015088504842,1,3,0
0.5851140933514914,0.6096220708817501,1,0,0
1.2887306492015618,-1.8163561356437163,0,2,1
1.3248860573175871,0.40910882571848933,2,0,0
-0.49523165849430223,-0.05346344955499465,1,0,0
-1.7691834347767759,-0.3478875624578361,1,0,0
0.8174257490550321,-0.6250784471224651,0,1,1
1.7392253074855022,-0.30461642415848506,2,2,-1
-0.0922198580053548,1.0086469271338034,1,3,0
-0.32784305295796645,0.8806117375787547,1,2,1
3.006524101878503,-1.1729810046307496,2,1,1
0.309836246180115,0.2329650964688463,1,0,0
-1.2761513116344332,-1.3645617276392317,0,0,0
1.0061520818889718,-0.4426099096373462,0,2,1
0.21521931054945612,-3.157521487767855,0,0,0
-0.912410041383952,-1.488083263415645,0,0,0
-1.5936795919053084,0.21508028070471608,1,2,1
-2.0020530034552846,-0.1460460683172575,1,0,0
-1.28363555892934,0.12378505141536396,1,0,0
-1.178447112588946,1.2309514172342377,1,3,0
0.2288963327779063,0.590643158431821,1,0,0
-0.6834435098374922,-0.05359341150232374,1,0,0
3.1592037551575234,-2.255970601101251,2,1,-1
-0.02847128220319319,1.88300583312357,1,3,0
-0.16169700634546916,-2.197735423774013,0,0,0
2.463884049096004,-0.5098996941689928,2,1,1
1.0543577574582832,-2.954614110874116,0,2,1
-1.045959811105128,0.2653270237191558,1,2,1
-1.12936703624307,1.0350247556826535,1,3,0
-1.8253544756210425,-0.5137377389021082,1,0,0
-0.940642189152677,1.0899607632221093,1,3,0
-0.8392096665429037,0.6017471708539279,1,3,0
1.5606428190189536,1.8772888734032214,2,2,-1
-0.8755307678089659,-0.517623184735572,0,0,0
-1.9572024962315255,0.27205932822200746,1,3,0
0.44092351082519793,-1.1947481130743234,0,0,0
-1.0052008585505527,0.8068490734779176,1,3,0
-0.954548582345929,-0.2579607568533893,1,0,0
-0.6910190680015008,-0.8287930943613382,0,0,0
0.8357054003921632,-1.1561708162637299,0,2,1
0.6707851813332913,0.9215892458475247,1,0,0
-0.14080083188188833,2.745943359433331,1,3,0
4.136792044741577,-0.54258157619136,2,1,1
0.14412505298643805,0.872497129428815,1,2,1
-0.9019276666212467,-1.0310118463674038,0,2,1
-1.0411917042790275,-0.41414210355362174,0,0,0
-0.9566200376661561,-0.3172326860397468,1,0,0
-0.9579507689315434,0.7378331646152962,1,0,0
-2.64026992334562,0.12497825968099084,1,3,0
-2.5595468359638023,0.6081225363703201,1,3,0
-0.47714931294598906,0.5880347153912533,1,3,0
-0.12185435481698402,1.621796450614498,1,3,0
2.6218039606838897,1.2621653367138854,2,1,1
1.5195749165621688,1.5830729751653954,2,1,0
0.6862946242085222,2.6082112460551485,1,2,1
-0.08762036620029699,1.7433123930581051,1,2,1
-0.48336627684318495,0.7059693791571909,1,3,0
-1.4881010519683762,-1.7090054527077578,0,0,0
0.08224028250217288,-0.5278627253424613,0,0,0
-0.03542300991574881,-0.5784920920702622,0,0,0
-0.37528131954847016,1.1570461275785255,1,3,0
-2.434200886011259,0.5838245012766382,1,3,0
0.021094080771417816,2.5647057037950183,1,3,0
3.952926746726723,0.5920556684011314,2,1,1
-1.4149998215256567,-0.7375273770225604,0,0,0
0.3541118984606128,-1.020931370421954,0,0,0
2.4652323742790565,1.1802638426267757,2,1,1
-0.41598743918935605,-1.34638240638139,0,0,0
0.9014654508298275,-0.47896088644409535,0,0,0
1.0419494866696926,-2.312183547924527,0,1,1
1.5739866995219476,-1.3462226888660327,2,1,-1
-1.720370471678831,0.8898218305139147,1,3,0
-0.17505112020291005,0.9472593309220739,1,3,0
-0.4700040191083783,1.4861240094585837,1,2,1
-0.03781565845374914,-1.0842036250555944,0,0,0
-0.5570371380275062,-0.6173989059139114,0,0,0
1.037582073313641,-0.8679851520012446,0,1,1
2.743474365854954,0.4907495954790753,2,1,1
1.0596107188264967,1.2240084495945454,2,2,1
-0.3956466593612202,-0.7792428974955256,0,2,1
-0.17027644594980454,1.6587738830636432,1,3,0
1.4340964079585623,-1.340436692008805,0,0,0
-0.08588995912095884,-0.4881593786461755,0,0,0
2.606286545877503,-0.03544185211489833,2,1,1
0.9180453555928179,0.756158340274433,2,1,0
-1.9291729341802069,0.11676529118742592,1,3,0
1.0627152593114038,0.276008032467231,2,1,0
-0.05975922647219879,2.3667545573127917,1,3,0
1.206682009215186,-1.7237063877660432,0,0,0
-0.7702747138889432,-2.728524329383374,0,2,1
-0.5405934533378107,0.410628226645193,1,3,0
-0.18606726010140553,-1.2251887322993227,0,0,0
-2.0591860253321306,-0.560133480040981,1,0,0
2.4496108839700828,-3.3280580730046943,0,1,1
-2.030968622722014,0.08642215119115894,1,3,0
0.7881816693936389,-0.6500963132584958,0,2,1
-1.1756773231442788,1.5648855438911327,1,3,0
-0.30293742056483025,1.6683417826063685,1,2,1
-1.5486025473995302,-1.1715041759934166,0,0,0
2.3969843214960536,-2.444445323089232,2,1,-1
0.4034824485234489,1.1244688387174055,1,3,0
0.24225366993278236,-0.9014204925370627,0,0,0
-1.3536794794438118,0.1876240588089631,1,3,0
1.069061069490498,1.214586549947808,2,1,1
0.9147524658805402,0.8262057641188977,2,2,1
-0.5887369197783177,0.8199516236586917,1,3,0
0.15488629672427237,-1.0794572522036354,0,2,1
-1.0227711911844461,1.5674100790539824,1,2,1
0.3600160725809755,1.0893998790487787,1,2,-1
-1.0598412255820948,2.4482565115618486,1,2,1
-0.9158655090472401,-1.9863360996916353,0,0,0
-1.0604272183469106,0.32971701338572973,1,0,0
1.2187122028129977,-1.2297250331140177,0,0,0
0.7856671691717552,-0.15069548758001625,0,0,0
0.04352677090752344,-0.3563197766377223,0,2,-1
-0.03261938045585307,-0.3356498675350747,0,0,0
-1.2863753524103745,0.011821943632756274,1,2,1
1.4146517534827836,0.31781333001071294,2,1,1
1.3095241262006445,-1.0547666393468063,0,0,0
-2.169927706851196,0.01819853505124442,1,0,0
-0.4755238325603375,-0.05986015632733734,1,2,-1
-1.4591719652811515,0.26613957559588575,1,3,0
-0.7204363437091809,-0.8809843978463197,0,2,1
-0.9051844526468091,-0.004728090640525614,1,2,1
-1.970074831870948,-0.18783908686749257,1,0,0
-0.17505112020291005,0.9472593309220739,1,3,0
0.21985648971499772,-1.592692531623789,0,0,0
-1.6385098741719601,0.014795763245523933,1,3,0
-1.6977412448073608,-0.38403503856776927,1,0,0
-1.3609764511585303,-1.9998714654250491,0,0,0
-1.4031981247555367,-1.286939229158098,0,0,0
-1.5376098796581918,-0.686504399152341,0,0,0
1.9707217634614351,-0.4013772665442609,2,1,1
0.11417851899507987,0.9950699607581367,1,3,0
2.5725884338886966,-2.1142576002059474,2,1,1
-2.319375754057588,0.2347872296083629,1,3,0
-0.661379936765152,0.7535980537681236,1,3,0
0.5778747705455636,-1.8560150217063447,0,0,0
-0.19703599100014732,-0.05174666122473653,1,0,0
-1.0291084684614957,-1.8522938596610168,0,0,0
-0.9198377862983239,2.007878047866063,1,3,0
-1.1484878373134815,0.826945803114378,1,2,1
-0.3138469128633674,1.144517654684022,1,2,1
1.2064111424417272,0.8840637480135681,2,1,1
2.259189053335123,-1.2414153049211174,2,1,1
0.750223814278865,-1.9429891719216095,0,2,1
-2.1321007135420476,-0.9529339394930451,1,0,0
-1.9837414698278844,-0.30639379173197484,1,0,0
-0.5640339239473656,-1.11350603320029,0,0,0
0.20706610409210519,1.2421369648283134,1,3,0
-1.1165120337619665,1.2035011643152713,1,3,0
0.32181444891645555,-0.10689240314216146,0,0,0
-0.8489987786481924,0.6035248532791267,1,2,1
0.6418338623907475,-0.17255263778033766,0,0,0
0.6422844530089625,-0.4305370430457684,0,0,1
1.7356732241015325,0.8256145955294131,2,1,1
-2.4381804646916754,1.2574700210856722,1,3,0
-2.8597652469107118,1.2191102191748584,1,3,0
-0.02210844293415928,0.2554876592750782,1,2,1
4.098273702432975,1.5765797036666138,2,1,1
0.7457000799408704,-2.261613654922107,0,1,1
0.6347551907792727,0.5087341568082407,1,0,0
-2.611625966886315,0.4047638821215301,1,3,0
-1.5777410959871165,0.5121734523119256,1,0,0
-0.7279356554609172,1.2503096536094724,1,3,0
-1.7155796428403698,-0.6465097957444411,0,0,0
0.4259037137820661,-0.04780676902742536,1,0,0
4.791129410260169,0.5134811573317327,2,1,1
1.0039015708605576,-0.09878589108408546,2,2,-1
-2.1506139813983873,-0.10076556799558674,1,0,0
-1.5202162013122806,-0.3614312093737223,1,3,0
0.5107763863067292,-2.198181165463991,0,0,0
2.1721225767077383,1.2310870582432378,2,1,1
-0.49991799361700545,-1.383211973822175,0,0,0
3.621469960537331,-1.1153152177451018,2,1,-1
2.065668163610508,-0.2783708692776468,2,1,1
3.006524101878503,-1.1729810046307496,2,1,1
3.303922371217229,-1.0392853698109947,2,1,-1
4.318210353527798,-0.8994458000582587,2,1,-1
-1.787247530182151,0.7346537896433366,1,2,1
-1.4716128219160178,1.3949290777520449,1,3,0
-0.2833148950913343,-1.653673146261346,0,2,1
1.594424206532772,0.5293425886886898,2,1,0
1.8811242378792212,0.028814207595701087,2,1,1
2.1494856056898253,1.534546664571874,2,1,1
1.003288942540464,0.42088756226354035,2,2,-1
-0.05340695792006876,2.7716552486513226,1,2,-1
-2.140103225022478,0.38143243391597365,1,3,0
-0.16244969009730204,1.0587616987708914,1,2,1
1.553909024019855,-0.9653330806031516,2,1,1
-0.7652844727929614,0.5817615953247776,1,2,1
0.6060813598426545,-0.09294014308468586,0,0,0
3.149882373291369,2.0164050163940264,2,1,0
-0.8939256657416433,-0.8042592297835127,0,0,0
0.9816287868167118,-0.6165471947793013,0,0,0
-0.9026206378214393,1.1283214188346982,1,3,0
-0.9508507297356498,-0.7135421250454189,0,0,0
2.8899449678642024,-2.4084840692223244,2,1,1
-1.657134543245641,0.8157831204396238,1,3,0
3.054597887154165,-0.9667968680663747,2,1,1
